,Question,Answer
10,                                How can we protect others and ourselves if we don't know who is infected?                            ,"Practicing hand and respiratory hygiene is important at ALL times and is the best way to protect others and yourself.When possible maintain at least a 1 meter distance between yourself and others. This is especially important if you are standing by someone who is coughing or sneezing.  Since some infected persons may not yet be exhibiting symptoms or their symptoms may be mild, maintaining a physical distance with everyone is a good idea if you are in an area where COVID-19 is circulating. "
11,                                What should I do if I have come in close contact with someone who has COVID-19?                            ,"If you have been in close contact with someone with COVID-19, you may be infected.Close contact means that you live with or have been in settings of less than 1 metre from those who have the disease. In these cases, it is best to stay at home. However, if you live in an area with malaria or dengue fever it is important that you do not ignore symptoms of fever.  Seek medical help.  When you attend the health facility wear a mask if possible, keep at least 1 metre distant from other people and do not touch surfaces with your hands. If it is a child who is sick help the child stick to this advice. If you do not live in an area with malaria or dengue fever please do the following:If you become ill, even with very mild symptoms you must self-isolate Even if you don’t think you have been exposed to COVID-19 but develop symptoms, then self-isolate and monitor yourself You are more likely to infect others in the early stages of the disease when you just have mild symptoms, therefore early self-isolation is very important.If you do not have symptoms, but have been exposed to an infected person, self-quarantine for 14 days.If you have definitely had COVID-19 (confirmed by a test)  self-isolate for 14 days even after symptoms have disappeared as a precautionary measure – it is not yet known exactly how long people remain infectious after they have recovered. Follow national advice on self-isolation."
12,                                What does it mean to self-isolate?                            ,"Self-isolation is an important measure taken by those who have COVID-19 symptoms to avoid infecting others in the community, including family members. Self-isolation is when a person who is experiencing fever, cough or other COVID-19 symptoms stays at home and does not go to work, school or public places.  This can be voluntarily or based on his/her health care provider’s recommendation. However, if you live in an area with malaria or dengue fever it is important that you do not ignore symptoms of fever.  Seek medical help.  When you attend the health facility wear a mask if possible, keep at least 1 metre distant from other people and do not touch surfaces with your hands. If it is a child who is sick help the child stick to this advice. If you do not live in an area with malaria or dengue fever please do the following:-  If a person is in self-isolation, it is because he/she is ill but not severely ill (requiring medical attention)have a large, well-ventilated with hand-hygiene and toilet facilities If this is not possible, place beds at least 1 metre apartKeep at least 1 metre from others, even from your family membersMonitor your symptoms dailyIsolate for 14 days, even if you feel healthyIf you develop difficulty breathing, contact your healthcare provider immediately – call them first if possibleStay positive and energized by keeping in touch with loved ones by phone or online, and by exercising yourself at home."
13,"                                What should I do if I have no symptoms, but I think I have been exposed to COVID-19? What does it mean to self-quarantine?                            ","To self-quarantine means to separate yourself from others because you have been exposed to someone with COVID-19 even though you, yourself, do not have symptoms.During self-quarantine you monitor yourself    for symptoms.  The goal of the self-quarantine is to prevent transmission.  Since people who become ill with COVID-19 can infect people immediately self-quarantine can prevent some infections from happening.  .In this case:Have a large, well-ventilated single room with hand hygiene and toilet facilitiesIf this is not available place beds at least 1 metre apart.Keep at least 1-metre distance from others, even from your family members.Monitor your symptoms dailySelf-quarantine for 14 days, even if you feel healthyIf you develop difficulty breathing, contact your healthcare provider immediately – call them first if possible.Stay positive and energized by keeping in touch with loved ones by phone or online, and by exercising yourself at home.However, if you live in an area with malaria or dengue fever it is important that you do not ignore symptoms of fever.  Seek medical help.  When you attend the health facility wear a mask if possible, keep at least 1 metre distant from            other people and do not touch surfaces with your hands. If it is a child who is sick help the child stick to this advice. "
14,"                                What is the difference between self-isolation, self-quarantine and distancing?                            ",Quarantine means restricting activities or separating people who are not ill themselves but may have been exposed to COVID-19. The goal is to prevent spread of the disease at the time when people just develop symptoms..Isolation means separating people who are ill with symptoms of COVID-19 and may be infectious to prevent the spread of the disease.Physical distancing means being physically apart. WHO recommends keeping at least 1-metre distance from others. This is a general measure that everyone should take even if they are well with no known exposure to COVID-19. 
15,                                Can children or adolescents catch COVID-19?                            ,"Research indicates that children and adolescents are just as likely to become infected as any other age group and can spread the disease.Evidence to date suggests that children and young adults are less likely to get severe disease, but severe cases can still happen in these age groups. Children and adults should follow the same guidance on self-quarantine and self-isolation if there is a risk they have been exposed or are showing symptoms. It is particularly important that children avoid contact with older people and others who are at risk of more severe disease."
16,                                What can I do to protect myself and prevent the spread of disease?                            ,"Stay aware of the latest information on the COVID-19 outbreak, available on the WHO website and through your national and local public health authority. Most countries around the world have seen cases of COVID-19 and many are experiencing outbreaks. Authorities in China and some other countries have succeeded in slowing their outbreaks. However, the situation is unpredictable so check regularly for the latest news.You can reduce your chances of being infected or spreading COVID-19 by taking some simple precautions:Regularly and thoroughly clean your hands with an alcohol-based hand rub or wash them with soap and water. Why? Washing your hands with soap andwater or using alcohol-based hand rub kills viruses that may be on your hands.Maintain at least 1 metre distance between yourself and others. Why? When someone coughs, sneezes, or speaks they spray small liquid droplets from their nose or mouth which may contain virus. If you are too close, you can breathe in the droplets,    including the COVID-19 virus if the person has the disease.Avoid going to crowded places. Why? Where people come together in crowds, you are more likely to come into close contact with someone that has COVID-19 and it is more difficult to maintain physical distance of 1 metre.Avoid touching eyes, nose and mouth. Why? Hands touch many surfaces and can pick up viruses. Once contaminated, hands can transfer the virus to your eyes, nose or mouth. From there, the virus can enter your body and infect you.Make sure you, and the people around you, follow good respiratory hygiene. This means covering your mouth and nose with your bent elbow or tissue when you cough or sneeze. Then dispose of the used tissue immediately and wash your hands. Why? Droplets    spread virus. By following good respiratory hygiene, you protect the people around you from viruses such as cold, flu and COVID-19.Stay home and self-isolate even with minor symptoms such as cough, headache, mild fever, until you recover. Have someone bring you supplies. If you need to leave your house, wear a mask to avoid infecting others. Why? Avoiding contact with others will    protect them from possible COVID-19 and other viruses.If you have a fever, cough and difficulty breathing, seek medical attention, but call by telephone in advance if possible and follow the directions of your local health authority. Why? National and local authorities will have the most up to date information    on the situation in your area. Calling in advance will allow your health care provider to quickly direct you to the right health facility. This will also protect you and help prevent spread of viruses and other infections.Keep up to date on the latest information from trusted sources, such as WHO or your local and national health authorities. Why? Local and national authorities are best placed to advise on what people in your area should be doing to protect themselves."
17,"                                Is there a vaccine, drug or treatment for COVID-19?                            ","While some western, traditional or home remedies may provide comfort and alleviate symptoms of mild COVID-19, there are no medicines that have been shown to prevent or cure the disease. WHO does not recommend self-medication with any medicines, including antibiotics, as a prevention or cure for COVID-19. However, there are several ongoing clinical trials of both western and traditional medicines. WHO is coordinating efforts to develop vaccines and medicines to prevent and treat COVID-19 and will continue to provide updated information as soon research results become available.The most effective ways to protect yourself and others against COVID-19 are to:Clean your hands frequently and thoroughlyAvoid touching your eyes, mouth and noseCover your cough with the bend of elbow or tissue. If a tissue is used, discard it immediately and wash your hands.Maintain a distance of at least 1 metre from others.  "
18,                                Does WHO recommend wearing medical masks to prevent the spread of COVID-19?                            ,"Currently, there is not enough evidence for or against the use of masks (medical or other) in healthy individuals in the wider community. However, WHO is actively studying the rapidly evolving science on masks and continuously updates its guidance. Medical masks are recommended primarily in health care settings, but can be considered in other circumstances (see below). Medical masks should be combined with other key infection prevention and control measures such as hand hygiene and physical distancing. Healthcare workersWhy? Medical masks and respirators such as N95, FFP2 or equivalent are recommended for and should be reserved for, healthcare workers while giving care to patients. Close contact with people with suspected or confirmed COVID-19 and their surrounding environment are the main routes of transmission, which means healthcare workers are the most exposed. People who are sick and exhibiting symptoms of COVID-19Why? Anyone who is sick, with mild symptoms such as muscle aches, slight cough, sore throat or fatigue, should isolate at home and use a medical mask according to WHO’s recommendation on home care of patients with suspected COVID-19. Coughing, sneezing or talking can generate droplets that cause can spread the infection. These droplets can reach the face of others nearby and land on the surrounding environment. If an infected person coughs, sneezes, or talks while wearing a medical mask, this can help to protect those nearby from infection.If a sick person needs to go to a health facility they should wear a medical mask. Anyone taking care of a person at home who is sick with COVID-19 Why? Those caring for individuals who are sick with COVID-19 should wear a medical mask for protection. Again, close, frequent and prolonged contact with someone with COVID-19 puts caretakers at high risk. National decision makers may also choose to recommend medical mask use for certain individuals using a risk-based approach. This approach takes into consideration the purpose of the mask, risk of exposure and vulnerability of the wearer, the setting, the feasibility of use and the types of masks to be considered."
19,                                How to properly wear a medical mask?                            ,"If you choose to wear a mask:Before touching the mask, clean hands with an alcohol-based hand rub or soap and waterTake the mask and inspect it for tears or holes.Orient which side is the top side (where the metal strip is).Ensure the proper side of the mask faces outwards (the coloured side).Place the mask to your face. Pinch the metal strip or stiff edge of the mask so it moulds to the shape of your nose.Pull down the mask’s bottom so it covers your mouth and your chin.Do not touch the mask while you are wearing it for protection.After use, take off the mask with clean hands; remove the elastic loops from behind the ears while keeping the mask away from your face and clothes, to avoid touching potentially contaminated surfaces of the mask. Discard the mask in a closed bin immediately after use. Do not reuse the mask.Perform hand hygiene after touching or discarding the mask – Use alcohol-based hand rub or, if visibly soiled, wash your hands with soap and water.Be aware that there is a global shortage of medical masks (both surgical masks and N95 masks). These should be reserved as much as possible for health care workers. Remember that  masks are not a substitute for other, more effective ways to protect yourself and others against COVID-19 such as frequently washing your hands, covering your cough with the bend of elbow or tissue and maintain a distance of at least 1 meter from others. See basic protective measures against the new coronavirus for more information.Follow the advice of your national health authority on the use of masks."
20,                                How long does it take after exposure to COVID-19 to develop symptoms?                            ,                                The time between exposure to COVID-19 and the moment when symptoms start is commonly around five to six days but can range from 1 – 14 days.                            
21,                                What is the connection between COVID-19 and animals?                            ,"COVID-19 is spread through human-to-human transmission. We already know a lot about other viruses in the coronavirus family and most of these types of viruses have an origin in animals. The COVID-19 virus (also called SARS-CoV-2) is a new virus in humans. The possible animal source of COVID-19 has not yet been confirmed but research is ongoing.WHO continues to monitor the latest research on this and other COVID-19 topics and will update, as new findings are available."
22,                                Can I catch COVID-19 from my pet or other animals?                            ,"Several dogs and cats (domestic cats and tigers) in contact with infected humans have tested positive for COVID-19. In addition, ferrets appear to be susceptible to the infection. In experimental conditions, both cats and ferrets were                able to transmit infection to other animals of the same species. However, there is no evidence that these animals can transmit the disease to humans and spread COVID-19. COVID-19 is mainly spread through droplets produced when an infected                person coughs, sneezes, or speaks.Minks raised in farms have also been detected with the virus. Most likely, they have been infected by farm workers. In a few instances, the minks that were infected by humans have transmitted the virus to other people. These are the first                reported cases of animal-to-human transmission.It is still recommended that people who are sick with COVID-19 and people who are at risk limit contact with companion and other animals. When handling and caring for animals, basic hygiene measures should always be implemented. This includes                hand washing after handling animals, their food or supplies, as well as avoiding kissing, licking or sharing food.More recommendations are available on the OIE website: https://www.oie.int/en/scientific-expertise/specific-information-and-recommendations/questions-and-answers-on-2019novel-coronavirus/WHO continues to monitor the latest research on this and other COVID-19 topics and will update as new findings are available."
23,                                How long does the virus survive on surfaces?                            ,"The most important thing to know about coronavirus on surfaces is that they can easily be cleaned with common household disinfectants that will kill the virus. Studies have shown that the COVID-19 virus can survive for up to 72 hours on plastic and stainless steel, less than 4 hours on copper and less than 24 hours on cardboard.As, always clean your hands with an alcohol-based hand rub or wash them with soap and water. Avoid touching your eyes, mouth, or nose."
24,                                How to grocery shop safely?                            ,"When grocery shopping, keep at least 1-metre distance from others and avoid touching your eyes, mouth and nose. If possible, sanitize the handles of shopping trolleys or baskets before shopping. Once home, wash your hands thoroughly and also after handling and storing your purchased products.There is currently no confirmed case of COVID-19 transmitted through food or food packaging."
25,                                How to wash fruits and vegetables?                            ,"                                Fruits and vegetables are important components of a healthy diet. Wash them the same way you should do under any circumstance: before handling them, wash your hands with soap and water. Then, wash fruits and vegetables thoroughly with clean water, especially if you eat them raw.                             "
26,                                Are antibiotics effective in preventing or treating COVID-19?                            ,"No. Antibiotics do not work against viruses; they only work on bacterial infections. COVID-19 is caused by a virus, so antibiotics do not work. Antibiotics should not be used as a means of prevention or treatment of COVID-19. In hospitals physicians will sometimes use antibiotics to prevent or treat secondary bacterial infections which can be a complication of COVID-19 in severely ill patients. They should only be used as directed by a physician to treat a bacterial infection.  "
27,                                Can I catch COVID-19 from the faeces of someone with the disease?                            ,"While initial investigations suggest the virus may be present in faeces in some cases, to date, there have not been reports of faecal-oral transmission of COVID-19. Additionally, there is no evidence to date on the survival of the COVID-19 virus in water or sewage.WHO is assessing ongoing research on the ways COVID-19 is spread and will continue to share new findings on this topic. "
28,                                Can adolescents catch COVID-19?                            ,"Yes. All age groups can catch COVID-19. While we are still learning about how COVID-19 affects people, older persons (e.g. persons over 60 years) and persons with pre-existing medical conditions, like high blood pressure, heart disease, lung disease, cancer or diabetes, appear to develop serious illness more often than others. As this is a new virus, we are still learning about how it affects children and adolescents. Evidence to date suggests that children and adolescents are less likely to get severe disease, but severe cases and death can still happen in these age groups.Read more:https://www.who.int/docs/default-source/coronaviruse/key-messages-and-actions-for-covid-19-prevention-and-control-in-schools-march-2020.pdf?sfvrsn=baf81d52_4https://www.who.int/news-room/q-a-detail/q-a-coronaviruses "
29,                                Can adolescents spread COVID-19 to other people even if they have mild or no symptoms?                            ,"                                Yes.  Infected people in all age groups – including adolescents - can transmit the virus to other people, even if  they have mild symptoms or do not feel ill. The virus is spread from person to person through small droplets from the nose or mouth which are spread when a person with COVID-19 coughs, sneezes or speaks. These droplets can land on objects and surfaces. People can then become infected by touching these objects or surfaces, and then touching their eyes, nose or mouth.  "
30,"                                Since there are few known cases of adolescents getting seriously ill with COVID-19, should I go to a health facility if I develop symptoms of the disease?                            ","If you have minor symptoms, such as a slight cough or a mild fever, there is generally no need to seek medical care. Stay at home, self-isolate and monitor your symptoms. Follow national guidance on self-isolation.   Avoiding contact with others and visits to medical facilities will allow these facilities to operate more effectively and help protect you and others from possible COVID-19 and other viruses. Seek medical care if your health gets worse, or if there is no one in your family that can take care of you at home. It is important that you follow the procedures put in place by your country. Ask a family member or another trusted adult how you can find out what these procedures are where you live. Read more:https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-publichttps://apps.who.int/iris/rest/bitstreams/1272288/retrieve"
31,                                What should I do if someone in my family gets really ill with COVID-19?                            ,"Seek medical care, if members of your family get seriously ill.  If possible, either you or an adult should phone the local or national COVID-19 emergency number for advice on where and how you could get care. If your family member is confirmed as having COVID-19, you must be prepared that you and other known contacts will need to monitor your symptoms, and continue to self-quarantine for 14 days, even if you feel healthy.Read more:https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public"
32,                                I am on medication for a chronic health condition. Should I change anything?                            ,"It is important to continue with any medication you may be using for chronic and other conditions, such as asthma, diabetes, HIV infection and TB, and attend recommended check-ups.  Check with your health authorities and health provider if these check-ups should be done differently during the COVID-19 outbreak. Some services, such as counselling, may be available remotely. For treatment of clinically stable adolescents with HIV and adolescents with TB and/or other chronic conditions, your health provider should consider multi-month prescriptions and dispensing which will reduce the frequency of your visits to the clinic and ensure continuity of treatment, if movements are disrupted during the pandemic.  Adherence to treatment is just as important during this period.   Read more:https://www.who.int/news-room/q-a-detail/q-a-on-covid-19-hiv-and-antiretrovirals"
33,"                                I was due to get vaccinated for HPV, meningitis or tetanus, but immunization services have been disrupted. Should I be concerned?                            ","WHO recommends that all vaccination in schools and mass campaigns should be postponed during the COVID-19 pandemic. However,  vaccines provided to adolescents have sufficiently flexible schedules to make sure you can get the vaccine in time when vaccination services start again. For example, the HPV vaccine that requires two doses can be started any time between 9 and 14 years of age and the interval between the two doses can be longer. The minimum interval between doses is 6 months, but it can be 12 or 15 months and, if necessary, even longer. It is most important hat you receive the t second dose at some point in time to be fully protected. Decisions to continue routine vaccination services are made by each country. Ask a family member or another trusted adult how you can get information about vaccination services where you live.  It is important you get the vaccines you are supposed to get, even if they have to be delayed due to the COVID-19 pandemic. Read more:https://apps.who.int/iris/bitstream/handle/10665/331590/WHO-2019-nCoV-immunization_services-2020.1-eng.pdf https://apps.who.int/iris/bitstream/handle/10665/331818/WHO-2019-nCoV-immunization_services-FAQ-2020.1-eng.pdf"
34,"                                I am bored staying home. Since I am very unlikely to get severely ill even if I was to get COVID-19, why is it important that I follow the guidelines to prevent transmission such as keeping physical distance from other people?                            ","Staying at home is difficult and can get boring, but it may help to do something you enjoy. This could be reading a book, playing games or listening to music. Try to stay connected with friends and family every day either by communicating with them by phone or internet if you can, or, if you live close to them and the local rules allow you to, by talking in-person while keeping your distance.  At the same time, it is still really important that you reduce your chances of being infected or spreading COVID-19 by washing your hands with soap and water or alcohol-based hand rub  as often as possible, keeping at least 1 metre (3 feet) from other people, and avoiding crowded places. You might be one of the unlucky adolescents who does get severely ill if you catch COVID-19, or you could spread it to others and be responsible for them getting really ill or even dying. You have the power to make choices that could save lives and together young people can play an important part in fighting COVID-19.  Read more:https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public"
35,                                Some of my friends are not sticking to the rules about physical distancing. What should I do?                            ,"                                Explain to your friends why it is important to protect themselves and others by washing their hands, avoiding touching their face, always coughing or sneezing into their elbow, sleeve, or a tissue, and cooperating with physical distancing measures and movement restrictions when called on to do so. Maybe you can share ideas for fun virtual activities that your friends can participate in,  and you can encourage them to do them together with you or with other friends. This way you are giving them alternatives rather than just telling them to stay at home. But, remember that you do not have control over other peoples’ actions so do not get into an argument or a fight to try to change their minds.  "
36,                                I am feeling really anxious about COVID-19 and its impact on my life. What should I do?                            ,"In situations like a pandemic it is very normal to feel anxious and powerless, and that is ok. Here are a few suggestions on things that could help you proactively manage your anxiety: Think about how you are feeling. Don’t ignore your feelings, especially if you don’t feel well. When your life is disrupted, it is normal to have many different feelings: worry, frustration, sad, stress, anger, anxiety - this can happen to everyone.  Draw on skills and strategies you have used in the past that have helped you to manage life challenges, and skills to help you manage your emotions. Here are a few examples:Keep a diary Express your feelings through art, like writing a poem, drawing, dancing, or playing music Talk about your feelings and concerns with someone you trust Try some breathing exercises. You may find guided breathing exercises online if you have access to internet.  Do something active every day: Any exercise will help, as it reduces levels of the body's stress hormones, which can help your body and mind relax. Exercise also produces a “feel good hormone” called endorphins which can help to improve your mood. Try taking a walk, running, or any physical activity outdoors while keeping a distance from others. For those who are unable to leave the house, you could open the window for fresh air and do some indoor exercises to stay active. Don’t use smoking, eating, alcohol or other drugs to deal with your emotions. Stay connected with friends and family either by communicating with them by phone or internet if you can., If you live close to them and the local rules allow you to, you could also talk to them in person while keeping your distance.Keep a daily routine as much as possible. Try to go to bed and wake up at the same times every day, making sure you get enough sleep. Plan ahead and try to have a balance of activities such as keeping up with schoolwork, physical exercise, connecting with friends and family, doing things you enjoy, and eating regular meals. Talk to a health worker or counsellor if you, or someone you care about:feel overwhelmed with emotions like sadness, fears and worries feel like stress gets in the way of your daily routines, orfeel like you want to harm yourself or others. At this time, you may find it easier to speak to a counsellor than a health worker, given that there may be restrictions on movement and health facilities may be busy caring for those with COVID-19.   Read more: https://www.who.int/docs/default-source/coronaviruse/coping-with-stress.pdf https://www.who.int/docs/default-source/coronaviruse/helping-children-cope-with-stress-print.pdf https://www.who.int/docs/default-source/coronaviruse/mental-health-considerations.pdf https://www.un.org/youthenvoy/2020/04/copingwithcovid-a-webinar-series-on-young-people-and-mental-health/ https://www.voicesofyouth.org/campaign/covid-19-and-youth-mental-health"
37,                                When will this pandemic end so I can go back to school and meet up with my friends?                            ,"We don’t know when the pandemic will end, but we know it depends on every individual’s contribution in helping stop the transmission. The sacrifices you have made by not seeing your friends and by stopping going to school and other activities are your contributions to fighting the pandemic. By putting societies and economies on hold, we have reduced the ability of the virus to spread through our communities. These defensive measures have helped to limit some of the short-term impacts of the virus, and bought us time to translate what we have learned about the virus into solutions so that we can get back to a more familiar way of living. It is important that you continue to practise these measures and encourage your friends to do the same.  Read more:https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public"
38,                                Schools are reopening in some areas of my country. Is it safe to go back to school?                            ,"A decision to reopen schools in every country and area is made based on careful assessment of the situation, with consensus among all the key parties involved, including the health and education policy-makers, teachers and other school staff, parents and health and community workers. In addition, the reopening of schools are carefully planned and prepared, with all necessary measures in place to protect the safety and health of everyone in the school community.Therefore, if your school reopens, you should feel assured it is safe for you to go back to school – provided that you strictly follow the guidelines and rules that will be provided by your school.Of course, if you have any concerns with going back to school, do not hesitate to speak out to your teachers and parents or guardians. Read more:School reopening, UNESCO COVID-19 Education Response Education Sector Issue Note 7.1, April 2020Prepare for school reopening, IIEP-UNESCO's COVID response brief, April 2020 "
39,"                                I know there is a risk of getting COVID-19 at the moment, but I feel fine. Can I still play sports?                            ","Yes. You can still play sports that are in line with the physical distancing measures and movement restrictions that are in place in your country. Being physically active is good for your health, both physical and mental. Set up a regular routine to practice activities or sports that do not require close contact with others every day for 1 hour. You can do individual sports, like jogging, walking, dancing or yoga. There are many options to try. You can set up playground games indoors, such as jump rope and hop-scotch, play with your brothers and sisters, and practice some strength training activities, using improvised weights like bottles full of water or sand. If you have access to the internet, you can also join in online active games or fitness classes, or set up your own online physical exercises with your friends or classmates. Find an activity that is fun, can be done within the restrictions that are in place in your country, and makes you feel good. "
40,                                I am missing out on my education because of the COVID-19 pandemic. What should I do?                            ,"Your school or place where you are studying are likely to make arrangements for you to catch up or to do exams at another time. Follow the procedures that your school has put in place to reduce the immediate impact of school closures, and to facilitate the continuity of education. If you have access to internet, you can also consult your teachers and other trusted adults to identify and access reliable online learning opportunities and resources, including those included in the distance learning solutions recommended by UNESCO, the United Nations agency that helps countries improve their education systems. In addition, UNESCO is collecting stories from students, teachers and parents about how they are coping and continuing to learn during school closures. Access those stories, they might inspire you. You can also contact UNESCO and share your story! Find out how to share it here.In places where internet connectivity is a problem, many governments have started to broadcast educational programmes on TV and radio channels during school closures. If you live in such a place, look out for educational programmes on your local TV and radio channels. Read more:https://en.unesco.org/covid19/educationresponse/solutions https://www.voicesofyouth.org/campaign/studying-home-due-coronavirus-how-young-people-around-world-are-keeping-their-mood"
